activity_type,aerobic_training_effect,anaerobic_training_effect,avg_hr,avg_speed,calories,distance,max_ftp,max_hr,duration,begin_timestamp,event_type_id,start_time_gmt,start_time_local,elevation_gain,elevation_loss,max_run_cadence,steps,avg_stride_length,avg_fractional_cadence,max_fractional_cadence,elapsed_duration,moving_duration,min_temperature,max_temperature,min_elevation,max_elevation,avg_double_cadence,max_double_cadence,max_vertical_speed,lap_count,water_estimated,min_respiration_rate,max_respiration_rate,avg_respiration_rate,activity_training_load
2,0.0,0.0,74.0,0.0,100.56047999999998,0.0,197.0,85.0,635630.0048828125,1588087509000,9,1588087509000.0,1588098309000.0,0.0,0.0,,,,0.0,0.0,635630.0048828125,0.0,26.0,27.0,40239.99938964844,40239.99938964844,,,0.0,1,,,,,
2,0.0,0.0,69.0,0.0,163.41078,0.0,197.0,110.0,1241626.953125,1588085253000,9,1588085253000.0,1588096053000.0,0.0,0.0,,,,0.0,0.0,1241626.953125,0.0,25.0,27.0,40279.998779296875,40279.998779296875,,,0.0,1,,,,,
3,0.10000000149011612,0.0,69.0,0.0,419.00199999999995,0.0,197.0,96.0,3655559.08203125,1588010130000,9,1588010130000.0,1588020930000.0,,,,248.0,,0.0,0.0,3660040.0390625,1778234.9853515625,27.0,29.0,,,,,,1,,,,,
2,1.5,0.0,125.0,0.0,435.76207999999997,0.0,197.0,148.0,686026.0009765625,1588006435000,9,1588006435000.0,1588017235000.0,0.0,0.0,,,,0.0,0.0,686026.0009765625,0.0,20.0,25.0,39379.998779296875,40220.001220703125,,,0.3600006103515625,1,,,,,
3,0.0,0.0,69.0,0.0,83.8004,0.0,197.0,84.0,646697.021484375,1588005205000,9,1588005205000.0,1588016005000.0,,,,8.0,,0.0,0.0,646697.021484375,646697.021484375,24.0,25.0,,,,,,1,,,,,
2,0.20000000298023224,0.0,79.0,0.0,293.3014,0.0,197.0,129.0,1512391.9677734375,1587999668000,9,1587999668000.0,1588010468000.0,0.0,0.0,,,,0.0,0.0,1512391.9677734375,0.0,25.0,27.0,40079.998779296875,40079.998779296875,,,0.0,1,,,,,
2,0.10000000149011612,0.0,73.0,0.0,196.93094,0.0,197.0,106.0,1263193.9697265625,1587926671000,9,1587926671000.0,1587937471000.0,0.0,0.0,,,,0.0,0.0,1263193.9697265625,0.0,24.0,27.0,40439.99938964844,40439.99938964844,,,0.0,1,,,,,
3,0.10000000149011612,0.0,72.0,0.0,662.02316,0.0,197.0,107.0,4855254.8828125,1587918372000,9,1587918372000.0,1587929172000.0,,,,370.0,,0.0,0.0,4855254.8828125,1973188.96484375,24.0,28.0,,,,,,1,,,,,
1,1.7999999523162842,1.2999999523162842,119.0,0.41269998550415044,3284.9756799999996,3003499.0234375,197.0,152.0,7277443.84765625,1587887952000,9,1587887952000.0,1587898752000.0,41400.0,43800.0,,,,0.0,0.0,9047984.375,6662449.951171875,22.0,31.0,23680.00030517578,50260.00061035156,,,0.1399993896484375,7,,,,,
2,1.7999999523162842,0.0,130.0,0.0,465.09221999999994,0.0,197.0,146.0,687323.974609375,1587835299000,9,1587835299000.0,1587846099000.0,0.0,0.0,,,,0.0,0.0,687323.974609375,0.0,19.0,22.0,40179.998779296875,40579.998779296875,,,0.279998779296875,1,,,,,
2,1.7000000476837158,0.0,118.0,0.0,825.4339399999999,0.0,197.0,146.0,1553442.0166015625,1587831364000,9,1587831364000.0,1587842164000.0,0.0,0.0,,,,0.0,0.0,1553442.0166015625,0.0,20.0,22.0,40220.001220703125,40739.99938964844,,,0.3199981689453125,1,,,,,
3,0.30000001192092896,0.0,82.0,0.0,875.7141799999999,0.0,197.0,135.0,4302443.84765625,1587802541000,9,1587802541000.0,1587813341000.0,,,,248.0,,0.0,0.0,5377117.1875,2284635.009765625,22.0,28.0,,,,,,1,,,,,
3,0.0,0.0,76.0,0.0,104.75049999999999,0.0,197.0,85.0,581296.0205078125,1587749086000,9,1587749086000.0,1587759886000.0,,,,12.0,,0.0,0.0,581296.0205078125,581296.0205078125,19.0,20.0,,,,,,1,,,,,
2,1.0,0.0,118.0,0.0,439.9521,0.0,197.0,138.0,781072.998046875,1587746834000,9,1587746834000.0,1587757634000.0,0.0,0.0,,,,0.0,0.0,781072.998046875,0.0,18.0,18.0,39600.0,39600.0,,,0.0,1,,,,,
2,0.0,0.0,81.0,0.0,92.18043999999999,0.0,197.0,91.0,441520.99609375,1587745400000,9,1587745400000.0,1587756200000.0,0.0,0.0,,,,0.0,0.0,441520.99609375,0.0,18.0,19.0,39420.001220703125,39420.001220703125,,,0.0,1,,,,,
